CNTR_ID,Name,Country code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BE,Belgium,56,8628.49,8673.69,8721.19,8770.2,8820.16,8870.79,8922.07,8974.22,9027.68,9082.99,9140.56,9200.39,9261.83,9323.47,9383.44,9440.28,9493.66,9543.53,9589.11,9629.53,9664.32,9692.9,9715.67,9734.41,9751.59,9769.01,9787.58,9806.89,9825.78,9842.45,9855.75,9865.51,9872.71,9878.64,9885.09,9893.5,9903.9,9916.26,9931.87,9952.25,9978.24,10011.22,10050.41,10091.89,10130.25,10161.91,10185.08,10201.76,10216.87,10237.4,10268.38,10311.33,10364.61,10426.17,10492.64,10561.44,10632.03,10704.83,10779.16,10854.39,10929.98,11005.18,11079.52,11153.12,11226.32,11299.19
BF,Burkina Faso,854,4284.46,4324.49,4367.14,4413.2,4463.17,4517.16,4574.94,4635.95,4699.34,4764.08,4829.29,4894.58,4960.33,5027.82,5098.89,5174.87,5256.36,5343.02,5434.04,5528.17,5624.6,5723.38,5825.17,5930.49,6040.04,6154.55,6274.04,6398.94,6530.82,6671.66,6822.84,6985.16,7158.26,7340.91,7531.24,7727.91,7930.69,8140.08,8356.31,8579.83,8811.03,9050.09,9297.12,9552.47,9816.59,10089.88,10372.81,10665.78,10969.09,11283.02,11607.94,11943.74,12290.98,12651.6,13028.04,13421.93,13834.2,14264,14709.01,15165.86,15632.07,16106.85,16590.81,17084.55,17589.2,18105.57
BG,Bulgaria,100,7251,7303.77,7360,7418.77,7479.37,7541.3,7604.25,7668.14,7733.03,7799.1,7866.47,7935.06,8004.37,8073.47,8141.17,8206.56,8269.12,8328.84,8386.02,8441.21,8494.77,8546.81,8596.96,8644.42,8688.11,8727.33,8761.23,8790.07,8815.57,8840.13,8865.24,8891.25,8916.71,8939.01,8954.52,8960.39,8956.74,8943.72,8918.66,8878.35,8821.11,8745.41,8653.53,8552.43,8451.63,8358.12,8274.66,8199.92,8131.74,8066.22,8000.51,7934.39,7869.12,7805.04,7742.74,7682.61,7624.61,7568.38,7513.65,7460.06,7407.3,7355.23,7303.74,7252.54,7201.31,7149.79
BH,Bahrain,48,115.61,116.92,119.69,123.59,128.33,133.65,139.33,145.19,151.07,156.87,162.5,167.92,173.11,178.05,182.77,187.35,191.78,196.2,200.95,206.47,213.1,220.81,229.59,239.86,252.14,266.69,283.84,303.24,323.51,342.83,359.9,374.13,385.95,396.45,407.22,419.43,433.49,448.99,465.24,481.13,495.94,509.65,522.75,535.69,549.15,563.73,579.86,597.83,618.05,640.9,666.86,694.89,725.37,761.6,807.99,867.01,940.81,1026.57,1115.78,1196.77,1261.32,1306.01,1333.58,1349.43,1361.93,1377.24
BI,Burundi,108,2308.92,2359.23,2403.78,2445.84,2487.93,2531.8,2578.39,2627.88,2679.77,2733.05,2786.74,2840.38,2894.51,2950.9,3011.96,3079.03,3153.88,3235.13,3317.32,3392.95,3457.11,3507.59,3547.34,3582.95,3623.85,3676.99,3744.7,3825.48,3917.87,4018.93,4126.54,4239.67,4359.12,4486.61,4624.62,4774.26,4936.43,5108.58,5284.17,5454.48,5613.14,5759.43,5895.13,6019.9,6134.04,6239.03,6333.42,6420.4,6511.92,6623.71,6767.07,6946.72,7159.92,7401.22,7661.61,7934.21,8218.07,8514.58,8821.8,9137.79,9461.12,9790.15,10124.57,10465.96,10816.86,11178.92
BJ,Benin,204,2255.22,2258.05,2264.38,2274.13,2287.23,2303.59,2323.13,2345.78,2371.46,2400.09,2431.62,2466,2503.23,2543.34,2586.36,2632.36,2681.38,2733.45,2788.55,2846.65,2907.77,2971.94,3039.3,3110.07,3184.55,3262.96,3345.5,3432.26,3523.27,3618.51,3718.02,3822.21,3931.36,4045.35,4163.97,4287.26,4414.45,4546.14,4685.38,4836.24,5001.27,5182.53,5378.23,5582.42,5786.79,5985.66,6176.32,6361.3,6546.49,6740.49,6949.37,7174.91,7414.74,7665.68,7922.8,8182.36,8443.72,8707.64,8973.53,9240.98,9509.8,9779.39,10049.79,10322.23,10598.48,10879.83
BM,Bermuda,60,37.26,37.82,38.47,39.2,39.96,40.76,41.57,42.39,43.23,44.08,44.95,45.83,46.72,47.6,48.44,49.21,49.92,50.56,51.15,51.72,52.29,52.86,53.43,53.98,54.51,54.99,55.44,55.85,56.24,56.61,56.99,57.37,57.75,58.14,58.53,58.92,59.32,59.73,60.14,60.54,60.93,61.31,61.68,62.04,62.37,62.69,62.99,63.26,63.51,63.77,64.04,64.32,64.61,64.88,65.06,65.12,65.06,64.89,64.63,64.31,63.95,63.58,63.18,62.77,62.38,62
BN,Brunei Darussalam,96,48,50.97,53.93,56.96,60.1,63.4,66.86,70.47,74.19,77.99,81.83,85.69,89.6,93.65,97.93,102.53,107.45,112.68,118.18,123.88,129.73,135.72,141.84,148.07,154.4,160.8,167.28,173.83,180.36,186.79,193.06,199.14,205.06,210.93,216.89,223.05,229.42,235.98,242.75,249.74,256.94,264.37,271.99,279.72,287.42,295.01,302.45,309.75,316.87,323.81,330.55,337.07,343.38,349.56,355.7,361.89,368.15,374.46,380.79,387.08,393.3,399.44,405.51,411.5,417.39,423.19
BO,Bolivia (Plurinational State of),68,3089.65,3140.34,3193.29,3248.46,3305.84,3365.36,3427,3490.69,3556.36,3623.96,3693.45,3764.82,3838.1,3913.4,3990.86,4070.59,4152.67,4237.13,4324.07,4413.58,4505.77,4600.6,4698.09,4798.51,4902.17,5009.26,5119.83,5233.68,5350.32,5469.12,5589.57,5711.6,5835.19,5959.96,6085.5,6211.55,6337.89,6464.74,6592.79,6723.05,6856.25,6992.52,7131.7,7273.82,7418.86,7566.72,7717.45,7870.86,8026.26,8182.71,8339.51,8496.38,8653.34,8810.42,8967.74,9125.41,9283.35,9441.48,9599.92,9758.8,9918.25,10078.24,10238.76,10399.93,10561.89,10724.71
BR,Brazil,76,53974.73,55605.54,57304.77,59053.27,60838.78,62655.98,64506.87,66400.36,68351.01,70376.95,72493.59,74706.89,77007.55,79368.45,81751.8,84130.06,86494.99,88853.68,91213.01,93585.75,95982.45,98402.2,100844.39,103320.79,105846.27,108431.28,111076.06,113776.47,116532.15,119341.44,122199.72,125107.38,128054.76,131014.34,133950.55,136836.43,139664.64,142437.48,145150.47,147801.82,150393.14,152916.85,155379.01,157812.22,160260.51,162755.05,165303.16,167893.84,170516.48,173153.07,175786.44,178419.4,181045.59,183627.34,186116.36,188479.24,190698.24,192784.52,194769.7,196701.3,198614.21,200517.58,202401.58,204259.38,206077.9,207847.53
BS,Bahamas,44,79.09,79.98,81.43,83.37,85.78,88.62,91.89,95.6,99.77,104.41,109.53,115.11,121.08,127.33,133.7,140.05,146.36,152.61,158.63,164.25,169.36,173.87,177.84,181.49,185.1,188.88,192.91,197.12,201.51,206.04,210.66,215.4,220.28,225.19,230.02,234.68,239.13,243.39,247.58,251.86,256.34,261.12,266.13,271.17,275.9,280.15,283.79,286.97,290.05,293.57,297.89,303.14,309.17,315.76,322.54,329.24,335.8,342.26,348.59,354.78,360.83,366.71,372.39,377.84,383.05,388.02
BT,Bhutan,64,176.8,181.49,186.16,190.81,195.45,200.09,204.75,209.45,214.22,219.1,224.11,229.3,234.7,240.36,246.32,252.63,259.27,266.29,273.87,282.21,291.46,301.65,312.71,324.47,336.68,349.15,361.86,374.8,387.73,400.38,412.56,423.89,434.39,444.79,456.14,469.01,484.15,500.95,517.07,529.28,535.51,534.68,528.09,518.85,511.38,508.9,512.38,520.92,533.51,548.39,564.19,580.78,598.42,616.47,634.24,651.16,666.92,681.47,694.99,707.83,720.25,732.25,743.71,754.64,765.01,774.83
BW,Botswana,72,412.53,425.27,437.18,448.44,459.21,469.67,480.02,490.43,501.12,512.26,524.03,536.58,549.99,564.32,579.56,595.74,612.95,631.28,650.73,671.31,693.02,715.81,739.75,765.18,792.51,822.03,853.86,887.79,923.31,959.67,996.33,1033.07,1069.96,1107.1,1144.72,1182.94,1221.67,1260.72,1300.1,1339.81,1379.81,1420.1,1460.45,1500.36,1539.14,1576.29,1611.83,1645.85,1678.11,1708.37,1736.58,1762.53,1786.67,1810.44,1835.75,1864,1895.67,1930.43,1967.87,2007.21,2047.83,2089.71,2132.82,2176.51,2219.94,2262.49
BY,Belarus,112,7745,7717.71,7711.03,7724.11,7755.58,7803.54,7865.54,7938.61,8019.38,8104.25,8190.03,8274.49,8356.96,8438.54,8521.43,8607.03,8695.43,8785.14,8874.07,8959.48,9039.44,9113.28,9181.64,9245.51,9306.47,9365.83,9423.42,9479.26,9535.07,9593.01,9654.46,9719.63,9787.56,9856.78,9925.23,9990.97,10053.98,10113.45,10165.75,10206.3,10231.98,10241.14,10234.86,10216.28,10190.06,10159.73,10126.94,10091.18,10051.3,10005.26,9952.06,9891.54,9825.8,9758.82,9695.79,9640.62,9594.23,9556.06,9526.45,9505.32,9492.12,9487.67,9490.96,9497.29,9500.42,9495.83
BZ,Belize,84,68.92,71.24,73.43,75.55,77.69,79.87,82.14,84.5,86.96,89.48,92.07,94.7,97.39,100.17,103.07,106.12,109.34,112.7,116.06,119.26,122.18,124.79,127.15,129.29,131.31,133.26,135.15,136.99,138.97,141.31,144.15,147.57,151.5,155.82,160.34,164.92,169.57,174.33,179.03,183.47,187.55,191.13,194.32,197.62,201.68,206.96,213.67,221.61,230.29,239.02,247.31,254.99,262.2,269.13,276.09,283.28,290.75,298.4,306.17,313.93,321.61,329.19,336.71,344.19,351.71,359.29
CA,Canada,124,13737,14099.99,14481.5,14882.05,15300.47,15733.86,16177.45,16624.77,17067.98,17498.57,17909.23,18295.92,18659.66,19007.31,19349.35,19693.54,20041.01,20389.45,20739.03,21089.23,21439.2,21790.34,22142,22488.74,22823.27,23140.61,23439.94,23723.8,23994.95,24257.59,24515.79,24768.53,25017.5,25272.66,25546.74,25848.17,26181.34,26541.98,26919.04,27296.52,27662.44,28014.1,28353.84,28680.92,28995.82,29299.48,29590.95,29871.09,30145.15,30420.22,30701.9,30991.34,31288.57,31596.59,31918.58,32256.33,32611.44,32982.28,33363.26,33746.56,34126.17,34499.91,34868.15,35230.61,35587.79,35939.93
CD,Democratic Republic of the Congo,180,12183.66,12428.83,12680.93,12944.39,13222.52,13517.52,13830.44,14161.24,14508.91,14871.77,15248.25,15637.72,16041.25,16461.91,16903.9,17369.86,17861.86,18378.19,18913.18,19458.87,20009.9,20563.11,21121,21690.6,22282.08,22902.28,23556.78,24242.64,24948.11,25656.49,26357.41,27049.15,27741.1,28448.12,29190.68,29985.67,30829.1,31721.54,32688.71,33763.06,34962.68,36309.21,37783.84,39314.96,40804.01,42183.62,43425,44558.35,45647.95,46788.24,48048.66,49449.02,50971.41,52602.21,54314.86,56089.54,57926.84,59834.88,61809.28,63845.1,65938.71,68087.38,70291.16,72552.86,74877.03,77266.81
CF,Central African Republic,140,1326.65,1339.84,1353.47,1367.81,1383.08,1399.49,1417.22,1436.39,1457.12,1479.47,1503.5,1529.23,1556.66,1585.77,1616.52,1648.83,1682.87,1718.56,1755.26,1792.15,1828.71,1864.76,1900.7,1937.38,1975.97,2017.38,2061.55,2108.42,2158.84,2213.89,2274.1,2340.26,2411.69,2485.67,2558.43,2627.42,2691.31,2751.16,2809.72,2871.01,2937.83,3010.95,3089.14,3170.85,3253.7,3335.84,3417.16,3497.91,3577.03,3653.31,3726.05,3794.68,3859.78,3923.29,3987.9,4055.61,4127.11,4202.1,4280.41,4361.49,4444.97,4530.9,4619.5,4710.68,4804.32,4900.27
CG,Congo,178,807.73,824.13,841.47,859.71,878.83,898.83,919.74,941.59,964.46,988.43,1013.58,1039.97,1067.61,1096.5,1126.6,1157.91,1190.36,1224.04,1259.19,1296.14,1335.09,1376.19,1419.31,1464.05,1509.88,1556.41,1603.45,1651.13,1699.78,1749.86,1801.69,1855.39,1910.8,1967.6,2025.32,2083.65,2142.53,2202.11,2262.5,2323.89,2386.47,2450.13,2514.91,2581.31,2649.96,2721.28,2795.9,2873.64,2953.01,3031.97,3109.27,3183.88,3256.87,3331.56,3412.59,3503.09,3604.6,3715.67,3832.77,3950.79,4066.08,4177.44,4286.19,4394.33,4504.96,4620.33
CH,Switzerland,756,4668.09,4726.28,4788.96,4851.99,4912.89,4970.81,5026.66,5082.99,5143.67,5213.4,5296.12,5393.41,5503,5618.16,5729.47,5829.96,5916.91,5991.68,6056.36,6114.72,6169.36,6221.63,6270.11,6311.47,6341.05,6356.18,6355.25,6341.22,6321.58,6306.58,6303.61,6315.8,6341.37,6376.79,6416.28,6455.68,6493.44,6531.16,6571.46,6618.27,6673.92,6740,6814.19,6890.3,6959.86,7017.04,7059.63,7090.18,7113.51,7136.81,7165.58,7200.95,7242.03,7289.9,7345.3,7408.61,7480.32,7560.14,7646.54,7737.32,7830.53,7925.81,8022.63,8118.72,8211.38,8298.66
CI,C™te d'Ivoire,384,2630.13,2692.66,2758.46,2827.84,2901.31,2979.49,3063.22,3153.47,3251.37,3358.09,3474.72,3602.08,3740.5,3889.86,4049.68,4219.74,4400.05,4591.24,4794.4,5010.96,5241.91,5487.59,5747.63,6021.41,6307.94,6606.4,6916.3,7237.45,7569.56,7912.39,8265.55,8629.12,9002.4,9383.29,9769.11,10158.03,10548.15,10939.99,11337.12,11744.7,12165.91,12600.97,13046.91,13499.7,13953.78,14404.34,14852.19,15296.39,15728.48,16137.82,16517.95,16865.38,17185.42,17491.54,17802.52,18132.7,18486.39,18862.17,19261.65,19684.91,20131.71,20604.17,21102.64,21622.49,22157.11,22701.56
