CNTR_ID,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BS,"Bahamas, The",BHS,1550.337434,1651.459295,1752.953116,1867.124019,1994.540294,2144.907586,2322.975639,2556.868857,2804.669821,3215.447579,3179.238808,3297.923125,3322.574841,3696.642772,3416.586979,3156.468059,3328.581426,3617.122739,4130.791867,5531.98973,6338.649957,6622.439695,7165.134491,7695.006328,8873.730523,9888.615756,10339.47778,11150.78166,11381.95948,12157.7892,12350.88048,11914.81213,11682.12886,11402.65152,11812.12238,12239.82781,12717.06038,17288.05651,18456.99077,20505.94743,21241.16539,21497.30816,22505.40479,22008.4337,21995.51992,23405.87955,23721.15628,24306.14242,23657.36531,22043.01257,21920.51659,21514.89865,22112.60835,22315.60365,22217.49414,22896.92369
BA,Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.5596047,481.1650399,731.1209512,971.5460643,1090.257056,1238.173385,1451.664002,1512.993014,1746.486383,2192.647078,2619.753258,2928.26359,3351.9634,4107.996232,4974.662267,4586.206313,4475.08813,4860.781811,4494.64064,4748.040692,4851.660528,4197.807304
BY,Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.740304,1747.438671,1666.227513,1590.035409,1460.017544,1370.67271,1452.447002,1396.502166,1511.770268,1209.614881,1273.049124,1244.441997,1479.465321,1819.479028,2378.374894,3126.367778,3848.586203,4735.956889,6376.173115,5176.044701,5818.854859,6305.773662,6721.834908,7722.123351,8025.304356,5740.456495
BZ,Belize,BLZ,304.9102814,316.4169522,327.1169619,336.9418346,351.165115,377.5872027,406.1091238,420.4057604,386.953247,396.6576424,435.7011786,474.4480222,519.5716725,605.9334425,786.0750611,885.9779086,717.0507882,858.8155426,980.7731054,1074.249158,1351.013867,1307.211688,1183.183936,1212.938005,1315.313517,1268.221398,1343.69287,1586.395604,1758.972211,1979.342672,2202.322556,2326.833728,2666.922772,2833.075677,2880.154008,2996.397406,3001.693234,2952.575494,2991.860011,3065.517898,3364.464523,3419.208672,3556.616082,3679.792815,3831.60983,3933.234373,4187.23289,4324.831017,4470.220796,4258.842876,4344.136669,4516.23303,4673.555198,4723.594321,4884.36862,4906.940691
BM,Bermuda,BMU,1902.402119,1961.538169,2020.385965,2020.265248,2199.727007,2282.216546,2630.850466,2982.749704,2830.188679,3053.703704,3387.272727,3866.300366,4343.173432,5009.29368,5853.932584,6509.433962,7261.278195,8370.786517,8876.865672,9613.3829,11218.21782,13425.97697,14166.17129,15902.02038,17469.82557,18269.53552,20450.66453,22411.79567,24253.17552,25517.92172,26841.51974,27700.30952,28669.68226,30900.69489,31476.06312,33989.72236,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,83912.6978,90849.58698,93605.74817,88463.31282,88207.32756,85973.15842,85458.45551,85748.06541,,
BO,Bolivia,BOL,152.4617632,162.695619,174.4934315,184.2754408,203.6012515,223.2783299,239.375089,255.8479061,210.1897929,218.5560983,225.748499,238.1114415,267.6865801,263.2105572,428.4324268,480.0505726,533.6275535,616.667074,702.4291799,808.4191206,811.7773315,1031.516342,958.6872467,909.8474557,1013.800438,865.69025,624.71542,672.5651749,697.3705601,701.4646141,709.9486541,764.1413321,791.381317,788.3991365,806.2211259,887.4682897,958.4735178,1006.964099,1058.718354,1012.510021,1007.002869,958.2363141,913.5758534,917.3643105,978.3347576,1046.427843,1233.592974,1389.63175,1736.924014,1776.85719,1981.160105,2377.70069,2645.290274,2948.032918,3124.080762,3095.359693
BR,Brazil,BRA,209.1987851,203.9551542,258.7576685,290.0582841,259.4669688,259.0041521,312.8819081,344.294512,371.3930967,400.2628589,440.9931063,500.034112,580.4884953,767.3098515,993.2896412,1140.90115,1374.535758,1548.398267,1723.137235,1885.091057,1923.282615,2106.678957,2199.701993,1551.773036,1560.455789,1629.264909,1919.864804,2064.654011,2276.240556,2879.49987,3071.627953,3942.403941,2578.207009,2774.174127,3482.529816,4827.152443,5144.64366,5260.463813,5065.336705,3461.612858,3728.50801,3135.155229,2805.717257,3040.506496,3596.22458,4730.653468,5808.340547,7246.870105,8706.819142,8474.881066,11121.42095,13039.12165,12157.30822,12071.77799,11728.79939,8538.589975
BB,Barbados,BRB,,,,,,,,,,,,,,,,,,,,,4013.848582,4402.579007,4585.337698,4856.359952,5277.885589,5507.527713,6028.539275,6616.112923,7011.951847,7732.257279,7727.850593,7733.373704,7464.223599,7842.693318,8148.570378,8537.897388,9069.236722,9549.184429,10726.89319,11200.29068,11568.05194,11513.34018,11674.93618,12028.89874,12869.33659,14223.7777,15646.81501,16461.82927,16569.60496,16526.25455,15901.43294,15530.89429,15317.139,15153.82138,15366.29261,15660.67942
BN,Brunei Darussalam,BRN,,,,,,1112.316466,1235.536486,1233.85202,1360.845574,1301.402944,1380.416864,1455.415568,1909.378126,2924.973178,6953.444643,7265.619224,8506.909588,9968.135727,10765.31936,15010.65393,25530.41308,21925.78865,20795.04312,18227.22449,17439.58121,15797.482,10280.76619,11672.44444,11084.31535,11954.40013,13701.89704,14002.10713,15381.31391,14678.07159,14220.63634,16046.98158,16913.93536,16779.33847,12784.76622,14205.77372,18154.83493,16616.79805,17016.94349,18758.98089,22131.94606,26337.91811,31157.68845,32707.70431,37798.3935,27726.48105,31453.2244,41787.0214,41807.65334,39151.23423,40979.64194,36607.92788
BT,Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,328.8078494,345.3553417,342.8625161,372.2797565,371.0852954,367.1936676,415.9357837,505.4026208,548.9719598,521.364502,559.8216186,467.65687,474.9128636,453.3890923,529.5484886,595.5104134,617.5547709,702.5389844,706.5620391,764.1242599,778.391266,820.2028589,897.4453332,1009.006232,1107.920596,1257.54864,1346.085775,1755.161709,1810.576177,1786.810672,2201.293078,2485.787052,2452.151588,2383.04473,2560.522132,2532.454468
BW,Botswana,BWA,58.03384675,61.31953877,64.81014553,67.50089133,71.80683331,76.86002926,83.96382153,92.89500193,101.8063206,115.2405136,138.8750098,177.3575384,223.3893749,319.0426733,386.1693195,432.0634861,435.697999,508.7052495,639.4499923,854.3291052,1064.796443,1039.435165,948.5812214,1058.827025,1083.956064,942.3822454,1139.91857,1558.813285,2034.121209,2301.68118,2747.208438,2776.423062,2839.196963,2772.732774,2767.35374,3001.102631,3007.613623,3050.233587,2854.673402,3210.23188,3333.17955,3114.616594,3044.127353,4149.041377,4879.459462,5327.853518,5342.140336,5666.637847,5561.89824,5115.119247,6244.002574,7504.850907,6885.829681,6806.677467,7153.444325,6360.644776
