DECADE,COUNTRY_ID,EVENT,Revolution,CivilWars,
1970s,IL,Israel Palestinian Conflict,,1,
1980s,IL,Israel Palestinian Conflict,,1,
1990s,IL,Israel Palestinian Conflict,,1,
2000s,IL,Israel Palestinian Conflict,,1,
2010s,IL,Israel Palestinian Conflict,,1,
1940s,PA,Israel Palestinian Conflict,,1,
1950s,PA,Israel Palestinian Conflict,,1,
1960s,PA,Israel Palestinian Conflict,,1,
1970s,PA,Israel Palestinian Conflict,,1,
1980s,PA,Israel Palestinian Conflict,,1,
1990s,PA,Israel Palestinian Conflict,,1,
2000s,PA,Israel Palestinian Conflict,,1,
2010s,PA,Israel Palestinian Conflict,,1,
1960s,PG,Papua Conflict,,1,
1970s,PG,Papua Conflict,,1,
1980s,PG,Papua Conflict,,1,
1990s,PG,Papua Conflict,,1,
2000s,PG,Papua Conflict,,1,
2010s,PG,Papua Conflict,,1,
1960s,CO,Colombian Conflict,,1,
1970s,CO,Colombian Conflict,,1,
1980s,CO,Colombian Conflict,,1,
1990s,CO,Colombian Conflict,,1,
2000s,CO,Colombian Conflict,,1,
2010s,CO,Colombian Conflict,,1,
1970s,PE,Peruvian Conflict,,1,
1980s,PE,Peruvian Conflict,,1,
1990s,PE,Peruvian Conflict,,1,
2000s,PE,Peruvian Conflict,,1,
2010s,PE,Peruvian Conflict,,1,
1980s,SO,Somali Civil War,,1,
1990s,SO,Somali Civil War,,1,
2000s,SO,Somali Civil War,,1,
2010s,SO,Somali Civil War,,1,
2010s,SY,Syrian Civil War,,1,
2010s,CF,Central African Republic Conflic,,1,
2010s,SD,South Sudanese Civil War,,1,
2010s,RU,Donbass War,,1,
2010s,UA,Donbass War,,1,
2010s,LY,Second Lybian Civil War,,1,
2010s,YE,Yemeni Civil War,,1,
2010s,TR,Kurdish Turkish Conflict,,1,
1900s,RU,Russo Japanese War,,,1
1900s,JP,Russo Japanese War,,,1
1900s,HN,Honduran-Nicaraguan War,,,1
1900s,NI,Honduran-Nicaraguan War,,,1
1910s,IT,Italo-Turkish War,,,1
1910s,TR,Italo-Turkish War,,,1
1910s,MN,Sino-Mondolian War,,,1
1910s,CN,Sino-Mondolian War,,,1
1910s,BG,First Balkan War,,,1
1910s,EL,First Balkan War,,,1
1910s,RS,First Balkan War,,,1
1910s,ME,First Balkan War,,,1
1910s,TR,First Balkan War,,,1
1910s,BG,Second Balkan War,,,1
1910s,EL,Second Balkan War,,,1
1910s,RS,Second Balkan War,,,1
1910s,ME,Second Balkan War,,,1
1910s,TR,Second Balkan War,,,1
1910s,RO,Second Balkan War,,,1
1910s,BE,World War I,,,1
1910s,RS,World War I,,,1
1910s,FR,World War I,,,1
1910s,RU,World War I,,,1
1910s,UK,World War I,,,1
1910s,IT,World War I,,,1
1910s,IN,World War I,,,1
1910s,CN,World War I,,,1
1910s,CA,World War I,,,1
1910s,AU,World War I,,,1
1910s,NZ,World War I,,,1
1910s,UA,World War I,,,1
1910s,US,World War I,,,1
1910s,ME,World War I,,,1
1910s,JP,World War I,,,1
1910s,PT,World War I,,,1
1910s,RO,World War I,,,1
1910s,EL,World War I,,,1
1910s,AL,World War I,,,1
1910s,BR,World War I,,,1
1910s,AZ,World War I,,,1
1910s,CZ,World War I,,,1
1910s,SK,World War I,,,1
1910s,TH,World War I,,,1
1910s,CN,World War I,,,1
1910s,ZA,World War I,,,1
1910s,AT,World War I,,,1
1910s,HU,World War I,,,1
1910s,DE,World War I,,,1
1910s,TR,World War I,,,1
1910s,BG,World War I,,,1
1910s,GE,Georgian-Armenian War,,,1
1910s,AZ,Georgian-Armenian War,,,1
1910s,AF,Third Anglo-Afghan War,,,1
1910s,UK,Third Anglo-Afghan War,,,1
1910s,IN,Third Anglo-Afghan War,,,1
1910s,PL,Polish-Soviet War,,,1
1920s,PL,Polish-Soviet War,,,1
1910s,UA,Polish-Soviet War,,,1
1920s,UA,Polish-Soviet War,,,1
1910s,RU,Polish-Soviet War,,,1
1920s,RU,Polish-Soviet War,,,1
1920s,TR,Turkish-Armenian War,,,1
1920s,RU,Turkish-Armenian War,,,1
1920s,AZ,Turkish-Armenian War,,,1
1930s,BO,Chaco War,,,1
1930s,PY,Chaco War,,,1
1930s,YE,Saudi Yemeni War,,,1
1930s,SA,Saudi Yemeni War,,,1
1930s,IT,Second Italo-Ethiopian War,,,1
1930s,ET,Second Italo-Ethiopian War,,,1
1930s,CN,Second Sino-Japanese War,,,1
1940s,CN,Second Sino-Japanese War,,,1
1930s,JP,Second Sino-Japanese War,,,1
1940s,JP,Second Sino-Japanese War,,,1
1940s,PL,World War II,,,1
1940s,AU,World War II,,,1
1940s,FR,World War II,,,1
1940s,NZ,World War II,,,1
1940s,UK,World War II,,,1
1940s,ZA,World War II,,,1
1940s,CA,World War II,,,1
1940s,CZ,World War II,,,1
1940s,SK,World War II,,,1
1940s,DK,World War II,,,1
1940s,NO,World War II,,,1
1940s,BE,World War II,,,1
1940s,LU,World War II,,,1
1940s,NL,World War II,,,1
1940s,EL,World War II,,,1
1940s,RS,World War II,,,1
1940s,ME ,World War II,,,1
1940s,HR,World War II,,,1
1940s,MK,World War II,,,1
1940s,RU,World War II,,,1
1940s,CR,World War II,,,1
1940s,DO,World War II,,,1
1940s,SV,World War II,,,1
1940s,HT,World War II,,,1
1940s,HN,World War II,,,1
1940s,NI,World War II,,,1
1940s,US,World War II,,,1
1940s,CN,World War II,,,1
1940s,GT,World War II,,,1
1940s,CU,World War II,,,1
1940s,PH,World War II,,,1
1940s,IN,World War II,,,1
1940s,MX,World War II,,,1
1940s,BR,World War II,,,1
1940s,ET,World War II,,,1
1940s,IQ,World War II,,,1
1940s,BO,World War II,,,1
1940s,CO,World War II,,,1
1940s,IR,World War II,,,1
1940s,LR,World War II,,,1
1940s,PE,World War II,,,1
1940s,IT,World War II,,,1
1940s,RO,World War II,,,1
1940s,BG,World War II,,,1
1940s,AL,World War II,,,1
1940s,PY,World War II,,,1
1940s,EC,World War II,,,1
1940s,UY,World War II,,,1
1940s,VE,World War II,,,1
1940s,TR,World War II,,,1
1940s,EG,World War II,,,1
1940s,LB,World War II,,,1
1940s,SY,World War II,,,1
1940s,SA,World War II,,,1
1940s,AR,World War II,,,1
1940s,CL,World War II,,,1
1940s,DE,World War II,,,1
1940s,HU,World War II,,,1
1940s,JP,World War II,,,1
1940s,HR,World War II,,,1
1940s,SK,World War II,,,1
1940s,FI,World War II,,,1
1940s,TH,World War II,,,1
1930s,PL,World War II,,,1
1930s,AU,World War II,,,1
1930s,FR,World War II,,,1
1930s,NZ,World War II,,,1
1930s,UK,World War II,,,1
1930s,ZA,World War II,,,1
1930s,CA,World War II,,,1
1930s,CZ,World War II,,,1
1930s,SK,World War II,,,1
1930s,DK,World War II,,,1
1930s,NO,World War II,,,1
1930s,BE,World War II,,,1
1930s,LU,World War II,,,1
1930s,NL,World War II,,,1
1930s,EL,World War II,,,1
1930s,RS,World War II,,,1
1930s,ME ,World War II,,,1
1930s,HR,World War II,,,1
1930s,MK,World War II,,,1
1930s,RU,World War II,,,1
1930s,CR,World War II,,,1
1930s,DO,World War II,,,1
1930s,SV,World War II,,,1
1930s,HT,World War II,,,1
1930s,HN,World War II,,,1
1930s,NI,World War II,,,1
1930s,US,World War II,,,1
1930s,CN,World War II,,,1
1930s,GT,World War II,,,1
1930s,CU,World War II,,,1
1930s,PH,World War II,,,1
1930s,IN,World War II,,,1
1930s,MX,World War II,,,1
1930s,BR,World War II,,,1
1930s,ET,World War II,,,1
1930s,IQ,World War II,,,1
1930s,BO,World War II,,,1
1930s,CO,World War II,,,1
1930s,IR,World War II,,,1
1930s,LR,World War II,,,1
1930s,PE,World War II,,,1
1930s,IT,World War II,,,1
1930s,RO,World War II,,,1
1930s,BG,World War II,,,1
1930s,AL,World War II,,,1
1930s,PY,World War II,,,1
1930s,EC,World War II,,,1
1930s,UY,World War II,,,1
1930s,VE,World War II,,,1
1930s,TR,World War II,,,1
1930s,EG,World War II,,,1
1930s,LB,World War II,,,1
1930s,SY,World War II,,,1
1930s,SA,World War II,,,1
1930s,AR,World War II,,,1
1930s,CL,World War II,,,1
1930s,DE,World War II,,,1
1930s,HU,World War II,,,1
1930s,JP,World War II,,,1
1930s,HR,World War II,,,1
1930s,SK,World War II,,,1
1930s,FI,World War II,,,1
1930s,TH,World War II,,,1
