DATE,DURATION,COUNTRY_ID,EVENT,ID_EVENT
1849,6,MM,Burmese-Siamese War,w_073
1851,1,BR,Platine War,w_074
1851,1,UY,Platine War,w_074
1851,1,AR,Platine War,w_074
1852,0,UK,Second Anglo-Burmese War,w_075
1852,0,MM,Second Anglo-Burmese War,w_075
1852,1,ME,Montenegrin-Ottoman War,w_076
1852,1,TR,Montenegrin-Ottoman War,w_076
1853,3,FR,Crimean War,w_077
1853,3,RU,Crimean War,w_077
1853,3,BG,Crimean War,w_077
1853,3,TR,Crimean War,w_077
1853,3,UK,Crimean War,w_077
1856,4,FR,Second Opium War,w_078
1856,4,UK,Second Opium War,w_078
1856,4,US,Second Opium War,w_078
1856,4,CN,Second Opium War,w_078
1856,1,UK,Anglo-Persian War,w_079
1856,1,AF,Anglo-Persian War,w_079
1856,1,IR,Anglo-Persian War,w_079
1859,1,ES,Hispano-Moroccan War,w_080
1859,1,MA,Hispano-Moroccan War,w_080
1861,6,FR,Franco-Mexican War,w_081
1861,6,MX,Franco-Mexican War,w_081
1861,6,US,Franco-Mexican War,w_081
1861,6,AT,Franco-Mexican War,w_081
1861,6,BE,Franco-Mexican War,w_081
1861,6,EG,Franco-Mexican War,w_081
1861,6,ES,Franco-Mexican War,w_081
1861,6,UK,Franco-Mexican War,w_081
1863,0,EC,Ecuadorian-Colombian War,w_082
1863,0,CO,Ecuadorian-Colombian War,w_082
1863,2,DO,Dominican Restauration War,w_083
1863,2,ES,Dominican Restauration War,w_083
1864,0,DE,Second Schleswig War,w_084
1864,0,AT,Second Schleswig War,w_084
1864,0,DK,Second Schleswig War,w_084
1864,1,UY,Uruguayan War,w_085
1864,1,BR,Uruguayan War,w_085
1864,1,BT,Bhutan War,w_086
1864,1,UK,Bhutan War,w_086
1864,1,RU,Russo-Kokandian War,w_087
1864,1,UZ,Russo-Kokandian War,w_087
1864,2,PE,Chincha Islands War,w_088
1864,2,CL,Chincha Islands War,w_088
1864,2,EC,Chincha Islands War,w_088
1864,2,BO,Chincha Islands War,w_088
1864,2,ES,Chincha Islands War,w_088
1864,6,PY,Paraguayan War,w_089
1864,6,UY,Paraguayan War,w_089
1864,6,AR,Paraguayan War,w_089
1864,6,BR,Paraguayan War,w_089
1866,0,AT,Austro-Prussian War,w_090
1866,0,DE,Austro-Prussian War,w_090
1866,0,IT,Austro-Prussian War,w_090
1868,1,JP,Boshin War,w_091
1868,1,FR,Boshin War,w_091
1868,10,ES,Ten Years' War,w_092
1868,10,CU,Ten Years' War,w_092
1870,1,FR,Franco-Prussian War,w_093
1870,1,DE,Franco-Prussian War,w_093
1876,2,ME,Montenegrin-Ottoman War,w_094
1876,2,TR,Montenegrin-Ottoman War,w_094
1877,1,RU,Russo-Turkish War,w_095
1877,1,RS,Russo-Turkish War,w_095
1877,1,RO,Russo-Turkish War,w_095
1877,1,ME,Russo-Turkish War,w_095
1877,1,BG,Russo-Turkish War,w_095
1877,1,TR,Russo-Turkish War,w_095
1878,2,AF,Second Anglo-Afghan War,w_096
1878,2,UK,Second Anglo-Afghan War,w_096
1879,1,ES,Little War,w_097
1879,1,CU,Little War,w_097
1879,0,UK,Anglo-Zulu War,w_098
1879,0,ZA,Anglo-Zulu War,w_098
1879,4,CL,War of the Pacific,w_099
1879,4,PE,War of the Pacific,w_099
1879,4,BO,War of the Pacific,w_099
1880,1,UK,First Boer War,w_100
1880,1,ZA,First Boer War,w_100
1881,18,SD,Mahdist War,w_101
1881,18,EG,Mahdist War,w_101
1881,18,UK,Mahdist War,w_101
1881,18,IT,Mahdist War,w_101
1881,18,BE,Mahdist War,w_101
1881,18,ET,Mahdist War,w_101
1884,1,FR,Sino-French War,w_102
1884,1,CN,Sino-French War,w_102
1885,0,RS,Serbo-Bulgarian War,w_103
1885,0,BG,Serbo-Bulgarian War,w_103
1885,0,UK,Third Anglo-Burmese War,w_104
1885,0,MM,Third Anglo-Burmese War,w_104
1893,0,FR,Franco-Siamese War,w_105
1893,0,TH,Franco-Siamese War,w_105
