"","i","j","cosSimEs"
"86","Ama14Int","Gan06Eco",1
"88","Ama14Int","Gie10Jou",1
"89","Ama14Int","Gon10Jou",1
"90","Ama14Int","Gue95Urb",1
"91","Ama14Int","Gul12Age",1
"93","Ama14Int","Ign15Dis",1
"94","Ama14Int","Iye13Eur",1
"95","Ama14Int","Kam90Jou",1
"96","Ama14Int","Knu01Ame",1
"97","Ama14Int","Kra98Urb",1
"98","Ama14Int","Kru96Jou",1
"99","Ama14Int","Kum14Jou",1
"101","Ama14Int","Li_16Wor",1
"103","Ama14Int","Mal80Env",1
"104","Ama14Int","Man16Reg",1
"105","Ama14Int","Mir86Urb",1
"108","Ama14Int","Mor13Tow",1
"109","Ama14Int","Nau03Jou",1
"110","Ama14Int","Nis08Jou",1
"111","Ama14Int","Oka79Reg",1
"112","Ama14Int","Par83Jou",1
"113","Ama14Int","Par85Jou",1
"115","Ama14Int","Pop74Sov",1
"116","Ama14Int","Pum15Cyb",1
"117","Ama14Int","Ros80Jou",1
"118","Ama14Int","Roz11Ame",1
"120","Ama14Int","She12Com",1
"121","Ama14Int","Son02Urb",1
"124","Ama14Int","Sua80Jou",1
"126","Ama14Int","XuZ09Urb",1
"127","Ama14Int","Ziq16Asi",1
"190","Ara14Eco","Bat01Urb",1
"191","Ara14Eco","Ber12Cit",1
"192","Ara14Eco","Bla03Jou",1
"193","Ara14Eco","Bos08Reg",1
"194","Ara14Eco","Bra99Jou",1
"195","Ara14Eco","Bre00Cyb",1
"196","Ara14Eco","Bre15Int",1
"197","Ara14Eco","Cam90Jou",1
"199","Ara14Eco","Cra05Con",1
"200","Ara14Eco","Del04Con",1
"203","Ara14Eco","Eec04The",1
"204","Ara14Eco","Ett87Env",1
"208","Ara14Eco","Gab99Qua",1
"209","Ara14Eco","Gan06Eco",1
"211","Ara14Eco","Gie10Jou",1
"212","Ara14Eco","Gon10Jou",1
"213","Ara14Eco","Gue95Urb",1
"214","Ara14Eco","Gul12Age",1
"216","Ara14Eco","Ign15Dis",1
"217","Ara14Eco","Iye13Eur",1
"218","Ara14Eco","Kam90Jou",1
"219","Ara14Eco","Knu01Ame",1
"220","Ara14Eco","Kra98Urb",1
"221","Ara14Eco","Kru96Jou",1
"222","Ara14Eco","Kum14Jou",1
"224","Ara14Eco","Li_16Wor",1
"226","Ara14Eco","Mal80Env",1
"227","Ara14Eco","Man16Reg",1
"228","Ara14Eco","Mir86Urb",1
"231","Ara14Eco","Mor13Tow",1
"232","Ara14Eco","Nau03Jou",1
"233","Ara14Eco","Nis08Jou",1
"234","Ara14Eco","Oka79Reg",1
"235","Ara14Eco","Par83Jou",1
"236","Ara14Eco","Par85Jou",1
"238","Ara14Eco","Pop74Sov",1
"239","Ara14Eco","Pum15Cyb",1
"240","Ara14Eco","Ros80Jou",1
"241","Ara14Eco","Roz11Ame",1
"243","Ara14Eco","She12Com",1
"244","Ara14Eco","Son02Urb",1
"247","Ara14Eco","Sua80Jou",1
"249","Ara14Eco","XuZ09Urb",1
"250","Ara14Eco","Ziq16Asi",1
"251","Bat01Urb","Ber12Cit",1
"252","Bat01Urb","Bla03Jou",1
"253","Bat01Urb","Bos08Reg",1
"254","Bat01Urb","Bra99Jou",1
"255","Bat01Urb","Bre00Cyb",1
"256","Bat01Urb","Bre15Int",1
"257","Bat01Urb","Cam90Jou",1
"259","Bat01Urb","Cra05Con",1
"260","Bat01Urb","Del04Con",1
"263","Bat01Urb","Eec04The",1
"264","Bat01Urb","Ett87Env",1
"268","Bat01Urb","Gab99Qua",1
"269","Bat01Urb","Gan06Eco",1
"271","Bat01Urb","Gie10Jou",1
"272","Bat01Urb","Gon10Jou",1
"273","Bat01Urb","Gue95Urb",1
"274","Bat01Urb","Gul12Age",1
"276","Bat01Urb","Ign15Dis",1
"277","Bat01Urb","Iye13Eur",1
"278","Bat01Urb","Kam90Jou",1
