"","Alp89Jou.txt","Ama14Int.txt","And05Reg.txt","Ara14Eco.txt","Arr12Reg.txt","Bat01Urb.txt","Ben07Com.txt","Ber12Cit.txt","Bla03Jou.txt","Bos08Reg.txt","Bra99Jou.txt","Bre00Cyb.txt","Bre15Int.txt","Cam90Jou.txt","Cie16Mis.txt","Cra05Con.txt","Del04Con.txt","Del13Eur.txt","Dim09Urb.txt","Eec04The.txt","Ett87Env.txt","Ezz15Rev.txt","Faz15Jou.txt","Gab11Jou.txt","Gab99Qua.txt","Gan06Eco.txt","Gan13Eco.txt","Gie10Jou.txt","Gon10Jou.txt","Gue95Urb.txt","Gul12Age.txt","Hol10Nat.txt","Ign15Dis.txt","Iye13Eur.txt","Kam90Jou.txt","Knu01Ame.txt","Kru96Jou.txt","Kum14Jou.txt","LeG08Emp.txt","Li_16Wor.txt","Luc14Eco.txt","Mal80Env.txt","Man16Reg.txt","Mir86Urb.txt","Mod15Qua.txt","Mor13Tex.txt","Mor13Tow.txt","Nau03Jou.txt","Nis08Jou.txt","Oka79Reg.txt","Par83Jou.txt","Par85Jou.txt","Pen10Phy.txt","Pop74Sov.txt","Pum15Cyb.txt","Ros80Jou.txt","Roz11Ame.txt","Sch12Reg.txt","She12Com.txt","Son02Urb.txt","Soo05Reg.txt","Soo07Urb.txt","Sua80Jou.txt","Ven13Oec.txt","XuZ09Urb.txt","Ziq16Asi.txt"
"pace",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,6,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,5,1,1,0,0,2,0
"parametric",0,2,3,0,3,0,0,0,1,6,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0
"parts",0,1,0,2,0,1,0,4,3,0,0,1,1,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,4,2,1,0,0,2,2,0,0,1,0,0,0,1,0,0,12,1,0,1,1,0,0,0,3,0,0,0,7,0,0,0,0,1,0,1
"past",0,1,0,0,0,4,0,0,0,2,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,3,2,0,0,2,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0,0
"per",0,1,2,1,2,8,0,0,2,0,1,7,3,0,0,0,0,9,12,1,0,0,0,0,1,0,0,0,1,5,0,1,0,0,0,1,0,4,0,3,1,0,11,2,4,1,2,30,0,0,3,7,0,0,3,3,2,0,8,33,4,8,0,0,50,0
"percentage",0,1,1,1,0,9,0,0,2,1,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,14,0,1,0,4,1,0,0,0,4,0,0,1,0,0,0,1,1,0,4,0,0,0,0,1,0,0,3,1,0,6,0,1,1,0,0,1,0
"period",0,8,41,11,5,12,1,2,12,58,9,11,11,1,1,0,19,13,25,5,4,10,0,0,3,0,4,8,20,16,2,1,26,16,0,3,0,16,14,0,4,5,0,10,6,18,8,11,1,0,5,7,2,9,5,0,0,9,5,6,4,4,0,0,49,0
"periods",0,1,5,1,1,15,2,1,3,0,8,6,6,1,0,1,4,0,1,1,1,1,0,0,1,0,2,0,17,2,0,0,5,5,0,2,0,2,5,0,6,1,1,1,1,4,1,1,0,0,0,2,0,2,2,0,0,0,5,0,2,4,0,0,6,1
"physicists",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"picture",0,1,0,0,4,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
