"","i","j","cosSimTerm"
"1513","Gue95Urb.txt","Ven13Oec.txt",0.636533862231561
"708","Bre00Cyb.txt","Son02Urb.txt",0.635263464768095
"513","Bla03Jou.txt","Gue95Urb.txt",0.635184753786753
"688","Bre00Cyb.txt","Li_16Wor.txt",0.63518268693623
"80","Ama14Int.txt","Del04Con.txt",0.63504303373925
"614","Bra99Jou.txt","Eec04The.txt",0.634890762431141
"268","Arr12Reg.txt","Dim09Urb.txt",0.634878129937776
"1906","Mir86Urb.txt","Sch12Reg.txt",0.634505539349367
"181","And05Reg.txt","Pum15Cyb.txt",0.634395657493863
"564","Bos08Reg.txt","Gab99Qua.txt",0.633888120666523
"314","Arr12Reg.txt","XuZ09Urb.txt",0.633511554138899
"713","Bre00Cyb.txt","XuZ09Urb.txt",0.633110755563918
"2128","Son02Urb.txt","Ven13Oec.txt",0.632905909612166
"278","Arr12Reg.txt","Gon10Jou.txt",0.632792791700795
"1737","Kru96Jou.txt","Ven13Oec.txt",0.631896943345436
"1585","Ign15Dis.txt","Iye13Eur.txt",0.631651191295998
"2039","Par83Jou.txt","XuZ09Urb.txt",0.631168458361291
"266","Arr12Reg.txt","Del04Con.txt",0.630563546462926
"1016","Del13Eur.txt","XuZ09Urb.txt",0.63009363789266
"954","Del04Con.txt","Par83Jou.txt",0.629728438175936
"1713","Kru96Jou.txt","Li_16Wor.txt",0.629650802366536
"129","Ama14Int.txt","Ziq16Asi.txt",0.629623379359585
"1120","Ett87Env.txt","Gul12Age.txt",0.629118491329519
"253","Ara14Eco.txt","XuZ09Urb.txt",0.628857916030096
"1043","Dim09Urb.txt","Mod15Qua.txt",0.628550218193916
"979","Del13Eur.txt","Gie10Jou.txt",0.628534404195907
"1363","Gan06Eco.txt","Ven13Oec.txt",0.628222059349166
"1129","Ett87Env.txt","Li_16Wor.txt",0.627746610190721
"226","Ara14Eco.txt","Kum14Jou.txt",0.627644337019837
"542","Bla03Jou.txt","She12Com.txt",0.627273280637559
"164","And05Reg.txt","Kum14Jou.txt",0.627264860378848
"947","Del04Con.txt","Mir86Urb.txt",0.626016651728369
"288","Arr12Reg.txt","LeG08Emp.txt",0.626004519590765
"246","Ara14Eco.txt","Sch12Reg.txt",0.625974617492394
"258","Arr12Reg.txt","Bla03Jou.txt",0.625397774537052
"821","Cie16Mis.txt","Del04Con.txt",0.62518221294345
"1188","Ezz15Rev.txt","Pum15Cyb.txt",0.62514843435926
"1863","Mal80Env.txt","Son02Urb.txt",0.624985555970483
"545","Bla03Jou.txt","Soo07Urb.txt",0.624605987516107
"1031","Dim09Urb.txt","Ign15Dis.txt",0.624449833017951
"1119","Ett87Env.txt","Gue95Urb.txt",0.624359113340733
"1888","Man16Reg.txt","Soo07Urb.txt",0.624244900847274
"1289","Gab99Qua.txt","Gue95Urb.txt",0.624133080607281
"1590","Ign15Dis.txt","LeG08Emp.txt",0.6240807399837
"1765","Kum14Jou.txt","Ven13Oec.txt",0.624071679183666
"963","Del04Con.txt","Son02Urb.txt",0.623982919520955
"1286","Gab99Qua.txt","Gan13Eco.txt",0.623831514710666
"2082","Pum15Cyb.txt","Sch12Reg.txt",0.623541451752734
"160","And05Reg.txt","Iye13Eur.txt",0.623141768057431
"1933","Mod15Qua.txt","Ven13Oec.txt",0.623113782525386
"128","Ama14Int.txt","XuZ09Urb.txt",0.62264436028136
"85","Ama14Int.txt","Ezz15Rev.txt",0.622634283475595
"508","Bla03Jou.txt","Gab99Qua.txt",0.622630178858457
