"","i","j","cosSim"
"1653","XuZ09Urb","Pen10Phy",0.137504774554232
"1795","Gab11Jou","Roz11Ame",0.137018051220097
"907","Bra99Jou","Ama14Int",0.136930639376292
"1858","Arr12Reg","Kum14Jou",0.136930639376292
"193","Ros80Jou","Sua80Jou",0.136082763487954
"942","Gab99Qua","Pen10Phy",0.135768846660426
"1013","Bre00Cyb","Pum15Cyb",0.135768846660426
"1413","Soo05Reg","Gon10Jou",0.135768846660426
"1358","And05Reg","Faz15Jou",0.135612700724162
"879","Bra99Jou","Eec04The",0.13558153613666
"889","Bra99Jou","XuZ09Urb",0.13558153613666
"134","Mal80Env","Mir86Urb",0.135113204733314
"178","Mal80Env","Ven13Oec",0.135113204733314
"1351","And05Reg","Ven13Oec",0.135113204733314
"1873","Ber12Cit","Del13Eur",0.134976381199754
"322","Par83Jou","Gue95Urb",0.134303827337563
"1626","Dim09Urb","Ber12Cit",0.133825844757828
"1783","Pen10Phy","Kum14Jou",0.133630620956212
"1105","Knu01Ame","Mod15Qua",0.133366267342316
"485","Mir86Urb","Faz15Jou",0.132842232831014
"133","Mal80Env","Par85Jou",0.132639527269323
"2012","Mor13Tex","Ama14Int",0.132453235706504
"1254","Del04Con","Gie10Jou",0.132453235706504
"1565","LeG08Emp","Del13Eur",0.132221471336986
"1243","Del04Con","Eec04The",0.13201967239689
"794","Kru96Jou","Roz11Ame",0.131306432859723
"1842","Roz11Ame","Cie16Mis",0.131306432859723
"1570","LeG08Emp","Ven13Oec",0.130813988033546
"1630","Dim09Urb","Del13Eur",0.130744090092123
"1729","Gon10Jou","Luc14Eco",0.13068205256071
"1738","Gon10Jou","Man16Reg",0.13068205256071
"1911","Gul12Age","Cie16Mis",0.130558241966773
"582","Alp89Jou","Ber12Cit",0.130066495428618
"265","Sua80Jou","Bra99Jou",0.129099444873581
"1610","Nis08Jou","Faz15Jou",0.129099444873581
"1314","Eec04The","Kum14Jou",0.128623938856882
"1322","Eec04The","Cie16Mis",0.128623938856882
"1677","XuZ09Urb","Cie16Mis",0.128623938856882
"1966","Del13Eur","Ezz15Rev",0.128388147753274
"1059","Bat01Urb","Mod15Qua",0.127920429813366
"1299","Eec04The","Gab11Jou",0.127827498141228
"1654","XuZ09Urb","Gab11Jou",0.127827498141228
"1695","Gie10Jou","Mor13Tow",0.127804296852691
"1877","Ber12Cit","Mor13Tow",0.127804296852691
"1844","Roz11Ame","Man16Reg",0.127385951059696
"1916","Sch12Reg","Del13Eur",0.127256952595156
"1721","Gon10Jou","Gan13Eco",0.127000127000191
"385","Par85Jou","Gab99Qua",0.127000127000191
"893","Bra99Jou","Pen10Phy",0.126773138209277
"622","Cam90Jou","Soo05Reg",0.126773138209277
"873","Bra99Jou","Bat01Urb",0.126491106406735
