"","i","j","diff_mean"
"824","Del04Con","Knu01Ame",0.0249863850991913
"1277","Gan13Eco","Man16Reg",0.0250156073814338
"206","Ara14Eco","Faz15Jou",0.0250965924029972
"1170","Gab11Jou","She12Com",0.0251268914055376
"1613","Knu01Ame","Ven13Oec",0.0252242207808489
"1289","Gan13Eco","Pum15Cyb",0.0257196351188075
"1313","Gie10Jou","Li_16Wor",0.0258534950588702
"857","Del13Eur","Eec04The",0.0259402271928014
"77","Ama14Int","Del04Con",0.026217880084625
"735","Cie16Mis","Mor13Tow",0.0262502878473997
"1090","Ezz15Rev","Ziq16Asi",0.0262892283935852
"408","Bla03Jou","Mor13Tow",0.0262988994915614
"404","Bla03Jou","Man16Reg",0.0264698813491009
"1347","Gon10Jou","Kra98Urb",0.026471249866317
"841","Del04Con","Par85Jou",0.026717278396233
"1479","Hol10Nat","Son02Urb",0.0267249819974861
"1144","Gab11Jou","Iye13Eur",0.0268521466693017
"416","Bla03Jou","Pum15Cyb",0.0271739090864746
"429","Bos08Reg","Bre00Cyb",0.0273845595445094
"1325","Gie10Jou","Par85Jou",0.0276548455987973
"1281","Gan13Eco","Mor13Tow",0.0277531734592285
"234","Ara14Eco","Oka79Reg",0.0280377115098847
"2001","Pen10Phy","XuZ09Urb",0.0281413649574529
"88","Ama14Int","Gie10Jou",0.0281542439104053
"1530","Iye13Eur","Mir86Urb",0.0281947536138735
"1404","Gue95Urb","Ros80Jou",0.0283683666287373
"1011","Ett87Env","Ign15Dis",0.0284157156327911
"1873","Mor13Tex","Nis08Jou",0.0286698069502053
"833","Del04Con","Mir86Urb",0.0288753166321395
"2034","Ros80Jou","XuZ09Urb",0.028944761838085
"1046","Ezz15Rev","Faz15Jou",0.0290288565445965
"1541","Iye13Eur","Pum15Cyb",0.0291669864971106
"1443","Gul12Age","She12Com",0.0294454658962611
"1940","Nis08Jou","Soo07Urb",0.0296421605847663
"1529","Iye13Eur","Man16Reg",0.0298710142344843
"1303","Gie10Jou","Gul12Age",0.030017690269943
"183","And05Reg","Son02Urb",0.0300919580596346
"812","Del04Con","Gab11Jou",0.0302179235767113
"250","Ara14Eco","Ziq16Asi",0.0302214925351845
"1684","Kum14Jou","Nau03Jou",0.030652342290945
"632","Bre15Int","Nis08Jou",0.0308226512334905
"458","Bos08Reg","Li_16Wor",0.0309982273993328
"901","Del13Eur","Sua80Jou",0.0310974352904371
"885","Del13Eur","Mor13Tow",0.0311254692367322
"120","Ama14Int","She12Com",0.0313089122557988
"594","Bre00Cyb","XuZ09Urb",0.0314031221285557
"380","Bla03Jou","Eec04The",0.0314841415354922
"14","Alp89Jou","Del04Con",0.0317124689550403
"1982","Par85Jou","She12Com",0.0318083105674068
"1074","Ezz15Rev","Oka79Reg",0.0319699756514839
"1521","Iye13Eur","Knu01Ame",0.0320836851468217
"913","Dim09Urb","Gie10Jou",0.0324482724780356
"1801","Mal80Env","Sua80Jou",0.0329233408187082
"959","Eec04The","Gan13Eco",0.0329384155031593
"474","Bos08Reg","Ros80Jou",0.0329633244221313
"1583","Kam90Jou","XuZ09Urb",0.0336039038369741
"133","And05Reg","Bra99Jou",0.0337648378407523
"1251","Gan06Eco","Roz11Ame",0.0342712091341049
"782","Cra05Con","Man16Reg",0.0343053421299179
"794","Cra05Con","Pum15Cyb",0.0350093698672917
"1754","Li_16Wor","XuZ09Urb",0.0350167899833791
"751","Cie16Mis","Sua80Jou",0.0359726166797696
"2023","Pum15Cyb","Ven13Oec",0.0360264508630834
"155","And05Reg","Ign15Dis",0.0361770065472684
"1378","Gue95Urb","Gul12Age",0.0364587331213882
"1553","Kam90Jou","Knu01Ame",0.0365913103327387
"1239","Gan06Eco","Mod15Qua",0.0366893798585817
"1825","Man16Reg","Ven13Oec",0.0367304786004571
"49","Alp89Jou","Par83Jou",0.036797541550395
"57","Alp89Jou","She12Com",0.0368035011262141
"983","Eec04The","Oka79Reg",0.037593004818498
"436","Bos08Reg","Dim09Urb",0.0375930048184981
"452","Bos08Reg","Kam90Jou",0.0376224664210204
"611","Bre15Int","Gon10Jou",0.0376961204273264
"292","Bat01Urb","Nau03Jou",0.0378198591579201
"1172","Gab11Jou","Soo05Reg",0.0378426226700192
"745","Cie16Mis","Roz11Ame",0.0379170824462439
"1412","Gue95Urb","Ven13Oec",0.0381063064837394
"1329","Gie10Jou","Ros80Jou",0.0381080567625939
"90","Ama14Int","Gue95Urb",0.0383221794809258
"1130","Faz15Jou","Soo07Urb",0.0386785218147427
"1806","Man16Reg","Mod15Qua",0.0386838155173412
"2077","Sua80Jou","Ziq16Asi",0.0388145463803287
"1400","Gue95Urb","Par85Jou",0.0388215777925339
"329","Ber12Cit","Gan13Eco",0.0390068178563802
"1844","Mir86Urb","Soo05Reg",0.039185229614591
"1467","Hol10Nat","Nau03Jou",0.0392559836036521
"181","And05Reg","Sch12Reg",0.0392741575124287
"1073","Ezz15Rev","Nis08Jou",0.0392918258549125
"1271","Gan13Eco","Kru96Jou",0.0393308954841258
"1859","Mod15Qua","Pum15Cyb",0.0393878432547149
"1257","Gan06Eco","Sua80Jou",0.0396184899919086
"1114","Faz15Jou","Mor13Tex",0.0396508754493037
"201","Ara14Eco","Del13Eur",0.0396904891355813
"1179","Gab99Qua","Gan13Eco",0.0403031283673628
"733","Cie16Mis","Mod15Qua",0.0403352531707207
"311","Ber12Cit","Bla03Jou",0.0404610918240473
"659","Cam90Jou","Gab11Jou",0.0404634070346199
"917","Dim09Urb","Hol10Nat",0.0404671128217835
"1562","Kam90Jou","Mir86Urb",0.0404802418656869
"955","Eec04The","Faz15Jou",0.0405341239253855
"398","Bla03Jou","Kru96Jou",0.0407851694517929
"764","Cra05Con","Gan06Eco",0.041067853246005
"1818","Man16Reg","Roz11Ame",0.041101986241818
"1605","Knu01Ame","Ros80Jou",0.0412504523316278
"662","Cam90Jou","Gan13Eco",0.0412753612505999
"1135","Gab11Jou","Gab99Qua",0.041435639917857
"951","Dim09Urb","XuZ09Urb",0.0416115674025445
"1956","Oka79Reg","Soo07Urb",0.0416196409216301
"51","Alp89Jou","Pen10Phy",0.041637725072934
"385","Bla03Jou","Gab99Qua",0.0417574023350299
"1961","Par83Jou","Par85Jou",0.0417927321092023
"680","Cam90Jou","Mir86Urb",0.0418060139791918
"2016","Pum15Cyb","Roz11Ame",0.0418060139791918
"1145","Gab11Jou","Kam90Jou",0.0418228488102587
"112","Ama14Int","Par83Jou",0.0422921304208103
"1148","Gab11Jou","Kru96Jou",0.042407872801094
"1874","Mor13Tex","Oka79Reg",0.0425919945561912
"374","Bla03Jou","Cam90Jou",0.0427296352182669
"326","Ber12Cit","Gab11Jou",0.0427319504288396
"1307","Gie10Jou","Kam90Jou",0.042767198761483
"1197","Gab99Qua","Mir86Urb",0.0427782468624288
"1893","Mor13Tow","Oka79Reg",0.0427782468624289
"895","Del13Eur","Roz11Ame",0.0427922638355764
"1610","Knu01Ame","Soo05Reg",0.0430741611475392
"233","Ara14Eco","Nis08Jou",0.0432240899965118
"859","Del13Eur","Ezz15Rev",0.0436227532771806
"1652","Kru96Jou","Mir86Urb",0.0437504797456658
"27","Alp89Jou","Gue95Urb",0.0438167683513411
"649","Bre15Int","Ziq16Asi",0.0438252486948179
"1295","Gan13Eco","Soo05Reg",0.0438961456152006
"347","Ber12Cit","Mir86Urb",0.0440745573734114
"1435","Gul12Age","Par83Jou",0.044155576780348
"264","Bat01Urb","Ett87Env",0.044333819475608
"198","Ara14Eco","Cie16Mis",0.0445656705249139
"703","Cie16Mis","Cra05Con",0.044713726558144
"9","Alp89Jou","Bre00Cyb",0.0448994822440368
"1381","Gue95Urb","Iye13Eur",0.0449657708497121
"2057","She12Com","Ven13Oec",0.0451195737088664
"1839","Mir86Urb","Ros80Jou",0.045139383864576
"854","Del04Con","XuZ09Urb",0.0452088290705214
"883","Del13Eur","Mod15Qua",0.0452104345600533
"422","Bla03Jou","Soo05Reg",0.0453504195828677
"671","Cam90Jou","Knu01Ame",0.0456949455121399
"1115","Faz15Jou","Mor13Tow",0.0457193659693164
"1167","Gab11Jou","Ros80Jou",0.0464819908091478
"1976","Par85Jou","Pen10Phy",0.0466329156317413
"1188","Gab99Qua","Knu01Ame",0.046667178395377
"1459","Hol10Nat","Li_16Wor",0.0470618902409488
"114","Ama14Int","Pen10Phy",0.0471323139433493
"1586","Knu01Ame","Kru96Jou",0.047639411278614
"338","Ber12Cit","Knu01Ame",0.0479634889063596
"209","Ara14Eco","Gan06Eco",0.0482115438370529
"161","And05Reg","Kum14Jou",0.0482132987444136
"318","Ber12Cit","Cra05Con",0.0482965526048643
"709","Cie16Mis","Ezz15Rev",0.0484979346665132
"38","Alp89Jou","Li_16Wor",0.0485131500988602
