"","i","j","diff_sd"
"1807","Man16Reg","Mor13Tex",0.0457708349625887
"155","And05Reg","Ign15Dis",0.0462794941676197
"165","And05Reg","Mal80Env",0.0463784852097177
"181","And05Reg","Sch12Reg",0.046588487145126
"1080","Ezz15Rev","Ros80Jou",0.0470897029937276
"423","Bla03Jou","Soo07Urb",0.0478886882355739
"1679","Kum14Jou","Man16Reg",0.0483451546353328
"391","Bla03Jou","Gul12Age",0.0487109036044209
"1705","LeG08Emp","Mal80Env",0.0487269197697966
"527","Bra99Jou","Pen10Phy",0.0487860759072833
"1492","Ign15Dis","LeG08Emp",0.0488259108118946
"6","Alp89Jou","Bla03Jou",0.0489219516305287
"1550","Iye13Eur","Ven13Oec",0.048945697117386
"388","Bla03Jou","Gie10Jou",0.0496434457856664
"630","Bre15Int","Mor13Tow",0.0500440801606002
"791","Cra05Con","Par85Jou",0.0502676641745898
"1049","Ezz15Rev","Gan06Eco",0.0505617031377809
"1790","Mal80Env","Par85Jou",0.0516882515674603
"1505","Ign15Dis","Par85Jou",0.0517872426095583
"1834","Mir86Urb","Par83Jou",0.0522728670243615
"2015","Pum15Cyb","Ros80Jou",0.0523929113420808
"1331","Gie10Jou","Sch12Reg",0.0525176036480862
"778","Cra05Con","LeG08Emp",0.0532289959722535
"56","Alp89Jou","Sch12Reg",0.053239097803224
"1525","Iye13Eur","LeG08Emp",0.0534540729999105
"134","And05Reg","Bre00Cyb",0.0536822372146874
"810","Del04Con","Ezz15Rev",0.0541588105079599
"1814","Man16Reg","Pen10Phy",0.054159638547017
"67","Ama14Int","Bat01Urb",0.05425544725473
"2048","Sch12Reg","Soo07Urb",0.0542723611981788
"1089","Ezz15Rev","XuZ09Urb",0.0547568535835896
"1384","Gue95Urb","Kra98Urb",0.0548520024716
"1932","Nis08Jou","Pop74Sov",0.0549719327932743
"131","And05Reg","Bla03Jou",0.0555725622886267
"1749","Li_16Wor","Son02Urb",0.0558310346666858
"1538","Iye13Eur","Par85Jou",0.0564154047975742
"233","Ara14Eco","Nis08Jou",0.0564258781982847
"1412","Gue95Urb","Ven13Oec",0.0566301436140762
"520","Bra99Jou","Mor13Tex",0.0571748794917116
"1342","Gon10Jou","Hol10Nat",0.0574334631754105
"129","And05Reg","Bat01Urb",0.0575699835992632
"654","Cam90Jou","Dim09Urb",0.057635038265444
"909","Dim09Urb","Gab11Jou",0.057635038265444
"910","Dim09Urb","Gab99Qua",0.057635038265444
"921","Dim09Urb","Knu01Ame",0.057635038265444
"923","Dim09Urb","Kru96Jou",0.057635038265444
"934","Dim09Urb","Nau03Jou",0.057635038265444
"936","Dim09Urb","Oka79Reg",0.057635038265444
"949","Dim09Urb","Sua80Jou",0.057635038265444
"803","Cra05Con","Ven13Oec",0.0577373718547781
"1426","Gul12Age","Mal80Env",0.0579049806833299
"2038","Roz11Ame","Son02Urb",0.0579624896201873
"1416","Gul12Age","Ign15Dis",0.0580039717254279
"72","Ama14Int","Bre00Cyb",0.0581431936393059
"840","Del04Con","Par83Jou",0.0583934053306912
"556","Bre00Cyb","Gie10Jou",0.0596113537176476
"1068","Ezz15Rev","Mir86Urb",0.0602793488142896
"9","Alp89Jou","Bre00Cyb",0.0603328478727853
"1223","Gan06Eco","Gue95Urb",0.0606257681031098
"1387","Gue95Urb","LeG08Emp",0.0611385194966008
"591","Bre00Cyb","Soo07Urb",0.0613661112677401
"1245","Gan06Eco","Par83Jou",0.0619905127008702
"360","Ber12Cit","Roz11Ame",0.0621388528193726
"258","Bat01Urb","Cie16Mis",0.0624750687581247
"603","Bre15Int","Ett87Env",0.0625308664710935
"1522","Iye13Eur","Kra98Urb",0.0625364489682903
"1417","Gul12Age","Iye13Eur",0.0626321339134438
"2031","Ros80Jou","Soo07Urb",0.0633086494582594
"271","Bat01Urb","Gie10Jou",0.0634991001022235
"430","Bos08Reg","Bre15Int",0.0637514811046317
"1400","Gue95Urb","Par85Jou",0.0640998512942645
"1873","Mor13Tex","Nis08Jou",0.0642133454158986
"4","Alp89Jou","Bat01Urb",0.0642205942573612
"818","Del04Con","Gue95Urb",0.0642228754732888
"343","Ber12Cit","Li_16Wor",0.0642703077728741
"54","Alp89Jou","Ros80Jou",0.0643419128532142
"194","Ara14Eco","Bra99Jou",0.0649623467093255
"1329","Gie10Jou","Ros80Jou",0.0650634070083519
"119","Ama14Int","Sch12Reg",0.0652369437088673
"306","Bat01Urb","Soo07Urb",0.065253857652316
"543","Bre00Cyb","Cie16Mis",0.0663628151427006
"528","Bra99Jou","Pop74Sov",0.0664162921143359
"1088","Ezz15Rev","Ven13Oec",0.0666942085794051
"1489","Ign15Dis","Kra98Urb",0.0671646111563062
"1621","Kra98Urb","Mal80Env",0.0672636021984043
"1567","Kam90Jou","Nis08Jou",0.0675515741969152
"1630","Kra98Urb","Par83Jou",0.0677642783323799
"416","Bla03Jou","Pum15Cyb",0.0678128725647663
"1227","Gan06Eco","Iye13Eur",0.0683102145998001
"600","Bre15Int","Del13Eur",0.0683819017876392
"270","Bat01Urb","Gan13Eco",0.0689568467836036
"804","Cra05Con","XuZ09Urb",0.0696747268505936
"955","Eec04The","Faz15Jou",0.0698485049173605
"773","Cra05Con","Kam90Jou",0.0702959298465413
"1378","Gue95Urb","Gul12Age",0.0703165804101341
"1392","Gue95Urb","Mir86Urb",0.0703434137796185
"1082","Ezz15Rev","Sch12Reg",0.0704913076627106
"2073","Soo07Urb","XuZ09Urb",0.0709758000481213
"179","And05Reg","Ros80Jou",0.0709925235113122
"303","Bat01Urb","She12Com",0.0711567273812241
"1063","Ezz15Rev","LeG08Emp",0.0712025844619297
"822","Del04Con","Iye13Eur",0.0719073219699791
"63","Alp89Jou","XuZ09Urb",0.0720090634430762
"1931","Nis08Jou","Pen10Phy",0.0726021490003269
"596","Bre15Int","Cam90Jou",0.0726504020669207
"606","Bre15Int","Gab11Jou",0.0726504020669207
"607","Bre15Int","Gab99Qua",0.0726504020669207
"618","Bre15Int","Knu01Ame",0.0726504020669207
"620","Bre15Int","Kru96Jou",0.0726504020669207
"631","Bre15Int","Nau03Jou",0.0726504020669207
"633","Bre15Int","Oka79Reg",0.0726504020669207
"646","Bre15Int","Sua80Jou",0.0726504020669207
"1338","Gie10Jou","XuZ09Urb",0.0727305575982139
"555","Bre00Cyb","Gan13Eco",0.0728445931681794
"1226","Gan06Eco","Ign15Dis",0.072938376787816
"1236","Gan06Eco","Mal80Env",0.073037367829914
"746","Cie16Mis","Sch12Reg",0.073456565212262
"1076","Ezz15Rev","Par85Jou",0.0741639162595934
"588","Bre00Cyb","She12Com",0.0750444737658
"105","Ama14Int","Mir86Urb",0.0754489025572883
"397","Bla03Jou","Kra98Urb",0.0764576792773132
"821","Del04Con","Ign15Dis",0.076535484157995
"831","Del04Con","Mal80Env",0.076634475200093
"1900","Mor13Tow","Roz11Ame",0.0768614944814898
"1793","Mal80Env","Pum15Cyb",0.0770069496436753
"1508","Ign15Dis","Pum15Cyb",0.0771059406857733
"795","Cra05Con","Ros80Jou",0.0773418774404556
"906","Dim09Urb","Ett87Env",0.0775462302725702
"550","Bre00Cyb","Ezz15Rev",0.0775850577322719
"1530","Iye13Eur","Mir86Urb",0.0780278602763087
"188","And05Reg","XuZ09Urb",0.0786596741011741
"436","Bos08Reg","Dim09Urb",0.0787668449061084
"1736","Li_16Wor","Mor13Tow",0.0789929494349913
"1292","Gan13Eco","Sch12Reg",0.0799383432377408
"1054","Ezz15Rev","Gul12Age",0.080380645375463
"1406","Gue95Urb","Sch12Reg",0.0805553726280395
"265","Bat01Urb","Ezz15Rev",0.0814728041168478
"77","Ama14Int","Del04Con",0.0815694408636179
"1541","Iye13Eur","Pum15Cyb",0.0817341028737892
"2045","Sch12Reg","She12Com",0.0821382238353614
"386","Bla03Jou","Gan06Eco",0.082231444908823
"1497","Ign15Dis","Mir86Urb",0.0826560224643247
"1782","Mal80Env","Mir86Urb",0.0827550135064227
"2072","Soo07Urb","Ven13Oec",0.0829131550439369
"856","Del13Eur","Dim09Urb",0.0833972655891159
"732","Cie16Mis","Mir86Urb",0.083668524060683
"62","Alp89Jou","Ven13Oec",0.0839464184388917
"2053","She12Com","Son02Urb",0.084359553104208
"1337","Gie10Jou","Ven13Oec",0.0846679125940294
"643","Bre15Int","Son02Urb",0.0847799039410769
"1690","Kum14Jou","Pop74Sov",0.0848745769752972
"1356","Gon10Jou","Mod15Qua",0.0851578727644918
"86","Ama14Int","Gan06Eco",0.0851665482337969
"377","Bla03Jou","Del04Con",0.085828552279002
"1561","Kam90Jou","Man16Reg",0.0859940846502251
"222","Ara14Eco","Kum14Jou",0.0863285223803076
"1294","Gan13Eco","Son02Urb",0.0865594337018285
"1725","LeG08Emp","Soo07Urb",0.0874215309264615
"558","Bre00Cyb","Gue95Urb",0.0876491226976008
"1544","Iye13Eur","Sch12Reg",0.0882398191247297
"37","Alp89Jou","LeG08Emp",0.0884547943214163
"174","And05Reg","Par83Jou",0.0886493953210665
"1997","Pen10Phy","Soo05Reg",0.0889670860839498
"1312","Gie10Jou","LeG08Emp",0.089176288476554
"1403","Gue95Urb","Pum15Cyb",0.0894185493704795
"704","Cie16Mis","Del04Con",0.0897890623670126
"1278","Gan13Eco","Mir86Urb",0.0901503020861618
"1985","Par85Jou","Soo07Urb",0.0903828627241252
"187","And05Reg","Ven13Oec",0.0905970290969897
"97","Ama14Int","Kra98Urb",0.0909403138653067
"50","Alp89Jou","Par85Jou",0.09141612611908
"273","Bat01Urb","Gue95Urb",0.0915368690821767
"1635","Kra98Urb","Ros80Jou",0.0918776404999988
"405","Bla03Jou","Mir86Urb",0.0919490905853317
"1325","Gie10Jou","Par85Jou",0.0921376202742177
"1842","Mir86Urb","She12Com",0.0923501826837823
"376","Bla03Jou","Cra05Con",0.0927618386631411
"1511","Ign15Dis","Sch12Reg",0.0928679813127457
"1796","Mal80Env","Sch12Reg",0.0929669723548437
"748","Cie16Mis","Son02Urb",0.0930412117273073
"713","Cie16Mis","Gan06Eco",0.0933861697371916
"1682","Kum14Jou","Mor13Tex",0.0941159895979215
"1324","Gie10Jou","Par83Jou",0.0945785118240267
"162","And05Reg","LeG08Emp",0.0951054049795143
"1573","Kam90Jou","Pum15Cyb",0.0952448959449161
"49","Alp89Jou","Par83Jou",0.0953000059791645
"562","Bre00Cyb","Iye13Eur",0.0953335691942911
"815","Del04Con","Gan13Eco",0.0962708403924915
"1971","Par83Jou","Soo07Urb",0.0963332693741193
"1446","Gul12Age","Soo07Urb",0.0965995918399948
"1885","Mor13Tex","Soo05Reg",0.097355889668378
"28","Alp89Jou","Gul12Age",0.0976328552349496
"1250","Gan06Eco","Ros80Jou",0.0976514061315085
"323","Ber12Cit","Ett87Env",0.0978523049695765
"175","And05Reg","Par85Jou",0.098066736777178
"1303","Gie10Jou","Gul12Age",0.0983543493900873
"848","Del04Con","She12Com",0.098470720990112
"312","Ber12Cit","Bos08Reg",0.0990729196031147
"724","Cie16Mis","Kra98Urb",0.0991599353687014
"277","Bat01Urb","Iye13Eur",0.099221315578867
"693","Cam90Jou","Roz11Ame",0.0994678163878103
"1168","Gab11Jou","Roz11Ame",0.0994678163878103
"1210","Gab99Qua","Roz11Ame",0.0994678163878103
"1606","Knu01Ame","Roz11Ame",0.0994678163878103
"1665","Kru96Jou","Roz11Ame",0.0994678163878103
"1918","Nau03Jou","Roz11Ame",0.0994678163878103
"1951","Oka79Reg","Roz11Ame",0.0994678163878103
"2041","Roz11Ame","Sua80Jou",0.0994678163878103
"1079","Ezz15Rev","Pum15Cyb",0.0994826143358084
"1644","Kra98Urb","XuZ09Urb",0.0995447910898607
"946","Dim09Urb","Son02Urb",0.0997952677425536
"1220","Gan06Eco","Gan13Eco",0.0998679477626705
"561","Bre00Cyb","Ign15Dis",0.099961731382307
"571","Bre00Cyb","Mal80Env",0.100060722424405
"897","Del13Eur","She12Com",0.100757555257646
"845","Del04Con","Ros80Jou",0.101248513501688
"121","Ama14Int","Son02Urb",0.101260833230702
"676","Cam90Jou","Li_16Wor",0.101599271341312
"1151","Gab11Jou","Li_16Wor",0.101599271341312
"1193","Gab99Qua","Li_16Wor",0.101599271341312
"1589","Knu01Ame","Li_16Wor",0.101599271341312
"1648","Kru96Jou","Li_16Wor",0.101599271341312
"1737","Li_16Wor","Nau03Jou",0.101599271341312
"1739","Li_16Wor","Oka79Reg",0.101599271341312
"1752","Li_16Wor","Sua80Jou",0.101599271341312
"781","Cra05Con","Mal80Env",0.10195591574205
"771","Cra05Con","Ign15Dis",0.102054906784148
"1253","Gan06Eco","She12Com",0.102067828360291
"419","Bla03Jou","Sch12Reg",0.102161049433753
"1689","Kum14Jou","Pen10Phy",0.10250479318235
"517","Bra99Jou","Man16Reg",0.1029457144543
"864","Del13Eur","Gan13Eco",0.102957435855266
"320","Ber12Cit","Del13Eur",0.103703340286122
"276","Bat01Urb","Ign15Dis",0.103849477766883
"286","Bat01Urb","Mal80Env",0.103948468808981
"153","And05Reg","Gul12Age",0.104283465893048
"245","Ara14Eco","Soo05Reg",0.105143356885992
"1259","Gan06Eco","XuZ09Urb",0.10531855672137
"477","Bos08Reg","She12Com",0.105387975940653
"1270","Gan13Eco","Kra98Urb",0.10564171339418
"2009","Pop74Sov","Soo05Reg",0.106597302291002
"1038","Ett87Env","She12Com",0.106608590574191
"772","Cra05Con","Iye13Eur",0.106683068972164
"1839","Mir86Urb","Ros80Jou",0.107369051808017
"444","Bos08Reg","Gan13Eco",0.107587856538274
"1638","Kra98Urb","She12Com",0.107841593991801
"777","Cra05Con","Kum14Jou",0.107944859861434
"1005","Ett87Env","Gan13Eco",0.108808471171812
"854","Del04Con","XuZ09Urb",0.108915664091549
"372","Bla03Jou","Bre00Cyb",0.109254799503314
"705","Cie16Mis","Del13Eur",0.109439213880745
"1643","Kra98Urb","Ven13Oec",0.111482146085676
"65","Ama14Int","And05Reg",0.111825430853993
"1075","Ezz15Rev","Par83Jou",0.112552215838651
