"","i","j","cosSim"
"2084","Kum14Jou","Ign15Dis",0.915025322853644
"1172","Bla03Jou","Pen10Phy",0.914869748885084
"1196","Bla03Jou","Cie16Mis",0.914456754460753
"475","Mir86Urb","Iye13Eur",0.914355455472352
"1415","Soo05Reg","Pen10Phy",0.913793103448276
"1270","Del04Con","Ven13Oec",0.913259302274819
"1131","Son02Urb","Arr12Reg",0.913213727132975
"1457","Gan06Eco","Gul12Age",0.912870929175277
"948","Gab99Qua","Sch12Reg",0.912694593211563
"770","Kru96Jou","Gab99Qua",0.91267288796909
"1555","LeG08Emp","Gon10Jou",0.912574311853672
"1912","Gul12Age","Li_16Wor",0.912552501483249
"1136","Son02Urb","Del13Eur",0.911382073529328
"925","Gab99Qua","Bla03Jou",0.911238543395836
"1707","Gie10Jou","Cie16Mis",0.910886538331907
"1661","XuZ09Urb","Del13Eur",0.910315239422832
"1791","Pen10Phy","Cie16Mis",0.909907157067554
"2003","Iye13Eur","Ign15Dis",0.909828647523508
"932","Gab99Qua","Gan06Eco",0.909626125421184
"871","Bra99Jou","Gab99Qua",0.909139419790222
"796","Kru96Jou","Ber12Cit",0.90906037381071
"1123","Son02Urb","Dim09Urb",0.908942501255297
"1407","Soo05Reg","Bos08Reg",0.908797737189207
"1582","LeG08Emp","Li_16Wor",0.908290300473176
"1331","And05Reg","LeG08Emp",0.908264448190463
"1004","Bre00Cyb","Ama14Int",0.908224019879208
"1653","XuZ09Urb","Pen10Phy",0.907958263975413
"1402","Cra05Con","Li_16Wor",0.907713425025669
"486","Mir86Urb","Ign15Dis",0.907409507423235
"1906","Gul12Age","Ezz15Rev",0.907264708726555
"581","Alp89Jou","Arr12Reg",0.907241517832336
"1635","Dim09Urb","Ven13Oec",0.907163732696199
"1795","Gab11Jou","Roz11Ame",0.907088483525545
"822","Kra98Urb","Bre00Cyb",0.906923264371456
"1694","Gie10Jou","Mor13Tex",0.906700459370764
"935","Gab99Qua","LeG08Emp",0.906411381946888
"1866","Arr12Reg","Cie16Mis",0.906315866960424
"885","Bra99Jou","Bos08Reg",0.90613588857039
"1598","Nis08Jou","Del13Eur",0.905789459783313
"336","Par83Jou","Cra05Con",0.905734363784814
"121","Oka79Reg","Ezz15Rev",0.905604244479368
"1889","Ber12Cit","Cie16Mis",0.905449091158725
"1125","Son02Urb","Gie10Jou",0.905246319777606
"1488","Soo07Urb","Pen10Phy",0.905054794054574
"1952","She12Com","Cie16Mis",0.90501304075117
"1798","Gab11Jou","Gul12Age",0.904929247124436
"943","Gab99Qua","Gab11Jou",0.904656501391575
"1408","Soo05Reg","LeG08Emp",0.904604356641689
"1413","Soo05Reg","Gon10Jou",0.90459074966486
"2007","Iye13Eur","Li_16Wor",0.904483293584524
"1248","Del04Con","Soo07Urb",0.904368720670121
"1625","Dim09Urb","Arr12Reg",0.904289923155253
"641","Cam90Jou","Del13Eur",0.904256851882696
"1324","Eec04The","Man16Reg",0.904124250573292
"1209","Nau03Jou","Nis08Jou",0.903760937019825
"1388","Cra05Con","Mor13Tex",0.903220928215154
"1166","Bla03Jou","Nis08Jou",0.903033439257168
"676","Kam90Jou","Soo05Reg",0.902973145540551
"1967","Del13Eur","Faz15Jou",0.902775066159319
"1638","Dim09Urb","Kum14Jou",0.90248525639428
"526","Ett87Env","Ber12Cit",0.902424447884336
"1627","Dim09Urb","Gul12Age",0.901420188744408
"1591","Nis08Jou","Gab11Jou",0.901331076061568
"1603","Nis08Jou","Ven13Oec",0.90125757368508
"1148","Son02Urb","Faz15Jou",0.901211818118666
"1430","Soo05Reg","Ara14Eco",0.900589232881458
"2139","Pum15Cyb","Ziq16Asi",0.900404336589212
"1675","XuZ09Urb","Mod15Qua",0.900183729715092
"644","Cam90Jou","Mor13Tex",0.900158843695198
"1291","Eec04The","LeG08Emp",0.899878519888519
"1268","Del04Con","Mor13Tex",0.899736443939881
"1881","Ber12Cit","Kum14Jou",0.899704093366981
"926","Gab99Qua","Nau03Jou",0.899131139182161
"1100","Knu01Ame","Luc14Eco",0.899091959546984
"1887","Ber12Cit","Mod15Qua",0.898728438877238
"1895","Gul12Age","Del13Eur",0.898715524710829
"634","Cam90Jou","Gab11Jou",0.898653891432306
"1419","Soo05Reg","Ber12Cit",0.898602464043336
"1346","And05Reg","Del13Eur",0.898558516406921
"575","Alp89Jou","Gie10Jou",0.898447108742194
"1055","Bat01Urb","Bre15Int",0.898106766312607
"543","Ett87Env","Ign15Dis",0.897885614188594
"781","Kru96Jou","Soo05Reg",0.897082684901702
"1095","Knu01Ame","Mor13Tow",0.896807307954619
"1528","Bos08Reg","Gul12Age",0.896642289861122
"1936","She12Com","Del13Eur",0.896441828163528
"1696","Gie10Jou","Ven13Oec",0.896053703343653
"299","Sua80Jou","Mor13Tex",0.895964448835991
"567","Alp89Jou","Soo05Reg",0.895845750435917
"884","Bra99Jou","Soo07Urb",0.895469523042289
"967","Gab99Qua","Li_16Wor",0.895437704645054
"1796","Gab11Jou","Arr12Reg",0.895424672328227
"1576","LeG08Emp","Ezz15Rev",0.895313033279117
"490","Mir86Urb","Li_16Wor",0.895239568270924
"1772","Pen10Phy","Gul12Age",0.895191802597258
"1069","Knu01Ame","Eec04The",0.894468365234661
"1742","Hol10Nat","Roz11Ame",0.894362166039891
"375","Par83Jou","Ziq16Asi",0.893328400291077
"65","Pop74Sov","Ziq16Asi",0.893325000573837
"1396","Cra05Con","Ezz15Rev",0.893197737235265
"1306","Eec04The","Del13Eur",0.892995009586263
"1564","LeG08Emp","She12Com",0.892804598667075
"1817","Gab11Jou","Cie16Mis",0.892522125597372
"1720","Gon10Jou","Del13Eur",0.892405884029804
"484","Mir86Urb","Ezz15Rev",0.892363919068504
"323","Par83Jou","Kru96Jou",0.892034439829174
